txn_date_time,transaction_id,customer_id,policy_number,policy_eff_dt,loss_dt,report_dt,insurance_type,premium_amount,claim_amount,customer_name,address_line1_x,address_line2_x,city_x,state_x,postal_code_x,ssn,marital_status,age,tenure,employment_status,no_of_family_members,risk_segmentation,house_type,social_class,routing_number,acct_number,customer_education_level,claim_status,incident_severity,authority_contacted,any_injury,police_report_available,incident_state,incident_city,incident_hour_of_the_day,agent_id,vendor_id,vendor_name,address_line1_y,address_line2_y,city_y,state_y,postal_code_y,agent_name,date_of_joining,address_line1,address_line2,city,state,postal_code,emp_routing_number,emp_acct_number,policy_age_days,report_delay_days,processing_delay,agent_experience_days,vendor_claim_count,anomaly_score,fraud_flag
2020-06-01,TXN00000015,A00005617,PLC00007011,2015-06-08,2020-05-20,2020-05-25,Mobile,-1.6920460224856275,-0.7198924851089532,David Pennington,210 Seaman,0,McCrory,AR,72101,519-11-2464,Y,55,90,Y,6,L,Mortgage,HI,93703880,LDQH95350551363442,PhD,A,Major Loss,Police,1,1,CO,Arvada,11,AGENT00324,VNDR00135,Shields-Bush,740 East 34th Street,0,Savannah,GA,31401.0,Barbara Hernandez,1994-12-13,105 Ridgecrest Court,0,Panama City,FL,32405,80018643,JANY27171527955107,-0.2802194693823121,0.9091880703409976,-0.0511842881309487,1.1122631076395864,17,0.09529129390805052,0
2020-06-01,TXN00000016,A00008033,PLC00008152,2011-01-25,2020-05-12,2020-05-17,Motor,0.8325093336348294,-0.3432427336678251,William Halcomb,5124 E Street Southeast,0,Washington,DC,20019,142-09-4530,Y,57,48,Y,2,L,Rent,LI,115671968,KNLE94705483907630,0,A,Minor Loss,Police,0,1,AR,Fayetteville,22,AGENT00608,VNDR00051,Roberts-Garcia,6624 Strawberry Lane,0,Louisville,KY,40214.0,Renee Zaldana,2015-02-24,61 Callahan Way,#B4,Mammoth Lakes,CA,93546,28869605,NSVP36826783847299,1.2613544038363649,0.9091880703409976,1.9146069026880184,-1.4535410444537862,22,0.017988808627529385,0
2020-06-01,TXN00000017,A00007184,PLC00000118,2014-04-17,2020-05-13,2020-05-18,Property,0.536318572414171,1.0181419100952889,Michael Kimball,42 Edison Road,0,Manchester,CT,6040,448-54-0272,Y,53,19,Y,5,M,Mortgage,MI,71737399,XHMQ62339445289593,Bachelor,A,Major Loss,Other,0,1,DC,Washington,2,AGENT00911,VNDR00238,Moore Inc,2643 North Sierra Avenue,0,Fayetteville,AR,72703.0,Troy Caldwell,1990-10-04,14 6th Street,#1,Medford,MA,2155,12632408,QBSF82653869882343,0.1180447322683859,0.9091880703409976,1.6688830038356477,1.6416816735467492,21,0.020312310658125887,0
2020-06-01,TXN00000019,A00009265,PLC00000619,2017-11-03,2020-05-27,2020-05-28,Motor,0.5804056668516273,-0.3886222217932622,Marshall Worm,119 Oakland Street,0,Manchester,CT,6042,848-09-7847,N,45,69,Y,4,H,Mortgage,MI,117427424,WGFI36482098909043,High School,A,Total Loss,Ambulance,0,1,MA,Fitchburg,20,AGENT00994,VNDR00107,"Kaiser, Sanford and Lopez",7529 West 72nd Avenue,#4,Arvada,CO,80003.0,Geraldine Lopez,2001-04-30,8380 West 67th Avenue,0,Arvada,CO,80004,118471806,YLMV72211135178869,-1.1272594299662353,-1.1245622268092037,-0.7883559846880617,0.3052819208926459,24,0.06627989558846181,0
2020-06-01,TXN00000021,A00004720,PLC00003338,2015-07-10,2020-05-30,2020-05-30,Health,1.3810107433027157,0.0197931713356719,Stacey Lopez,10 Skyline Way,0,Hartford,VT,5001,889-29-6243,Y,51,51,Y,6,L,Own,MI,95548658,VRFH55935817723257,High School,A,Total Loss,Other,1,0,CO,Arvada,3,AGENT00446,VNDR00215,"Mooney, Nicholson and Martinez",1693 Alice Court,0,Annapolis,MD,21401.0,Christina Bock,2009-10-30,1481 Stannage Avenue,R,Berkeley,CA,94702,35675549,PRDU66700551824530,-0.3015897436172274,-1.632999801096754,-1.2798037823928037,-0.7723141364853182,11,0.021147302101463428,0
2020-06-01,TXN00000023,A00001482,PLC00007915,2011-12-29,2020-05-28,2020-05-29,Life,-0.1460999738782902,2.878700923238211,Doris Yazzie,17109 Guava Avenue,0,Panama City Beach,FL,32413,258-50-0636,N,44,49,Y,4,L,Rent,MI,20968245,XHTX98098767352371,Bachelor,A,Major Loss,Ambulance,1,1,CA,Woodland,7,AGENT00302,VNDR00375,"Ortega, Maldonado and Carson",14854 Bay View Circle,0,Panama City Beach,FL,32413.0,Brenda Trent,1997-08-27,7506 Harvey Street,0,Panama City,FL,32404,61374377,BIVD24339360938518,0.9485712991253288,-1.1245622268092037,-1.0340798835404326,0.7718233474105715,19,0.06017777063412311,0
2020-06-01,TXN00000024,A00001719,PLC00000786,2015-06-20,2020-05-22,2020-05-25,Property,1.3356817588811054,-0.297863245542388,Matt Mattis,1040 West 27th Avenue,#APT 000401,Anchorage,AK,99503,438-64-3416,Y,64,81,N,7,M,Rent,MI,71782933,NJKK70954001222323,0,A,Total Loss,0,0,0,CO,Arvada,22,AGENT00266,VNDR00585,Solomon Ltd,1835 Pointer Lane,0,Fayetteville,AR,72701.0,Theresa Pelfrey,2015-09-01,7529 West 72nd Avenue,#4,Arvada,CO,80003,64537344,BRGO46743678530228,-0.2899332303981827,-0.1076870782341027,-0.0511842881309487,-1.5157234088221472,15,0.0015987089201416893,0
2020-06-01,TXN00000026,A00001186,PLC00007391,2018-03-18,2020-05-27,2020-05-28,Property,-0.0293623153678419,0.9273829338444146,Brian Conley,1742 Allerford Drive,0,Hanover,MD,21076,786-93-0182,Y,47,95,Y,5,H,Mortgage,MI,129853109,RKGB68336454670370,Bachelor,A,Minor Loss,Police,1,1,TN,Nashville,13,AGENT00070,VNDR00051,Roberts-Garcia,6624 Strawberry Lane,0,Louisville,KY,40214.0,Sylvia Buckley,1996-10-19,517 Retford Drive,0,Severna Park,MD,21146,124127270,RJVH50696223589264,-1.2583952036804893,-1.1245622268092037,-0.7883559846880617,0.8798608631567182,22,0.0788526304704214,0
2020-06-01,TXN00000028,A00004112,PLC00003274,2014-06-23,2020-05-28,2020-05-29,Health,0.6393954410989285,0.1105521475865461,Elbert Felix,780 South Wilmington Avenue,#107,Fayetteville,AR,72701,438-24-0006,Y,57,85,Y,3,L,Own,HI,99964979,TPIY02608088603933,Masters,A,Minor Loss,Police,0,0,MA,Quincy,0,AGENT01169,VNDR00310,Salinas-Ferrell,2278 North Windswept Lane,0,Fayetteville,AR,72703.0,Tracey Banks,2015-01-02,269 Hugh Thomas Drive,0,Panama City,FL,32404,118320300,SZSL98136625814720,0.0675331749858585,-1.1245622268092037,-1.0340798835404326,-1.42957130623358,21,0.0139427012319715,0
2020-06-01,TXN00000029,A00004865,PLC00007448,2016-08-29,2020-05-20,2020-05-25,Property,1.463182463920886,0.9273829338444146,Ronald Shaver,4339 Oak Street,0,Montgomery,AL,36105,892-06-1080,Y,43,32,N,3,L,Own,LI,125180326,POCQ85673947426778,Bachelor,A,Minor Loss,0,0,1,MD,Pasadena,7,AGENT00431,VNDR00339,Hickman-Mendoza,7404 West Crest Lane,0,Glendale,AZ,85310.0,Sunshine Lopez,2008-04-05,332 Stafford Road,#2,Fall River,MA,2721,121399506,ZZDC51369291716341,-0.7153959628933185,0.9091880703409976,-0.0511842881309487,-0.5767349681088534,25,0.035534909488231126,0
2020-06-01,TXN00000030,A00002422,PLC00005607,2019-06-29,2020-05-18,2020-05-23,Mobile,-1.6597568828976317,-0.724430433921497,Lauren Loftin,1536 Rachaels Ridge,0,Nashville,TN,37076,708-10-7356,N,58,49,Y,4,M,Own,HI,94974294,RUQN45743921948489,Bachelor,A,Major Loss,Police,0,1,CO,Arvada,19,AGENT00546,VNDR00233,Cardenas-Mcknight,7420 Bearfoot Circle,#APT 000003,Anchorage,AK,99502.0,Charles Wilson,2013-07-03,8505 Waters Avenue,#66,Savannah,GA,31406,123326658,IGLT11842426840743,-1.7217416041375206,0.9091880703409976,0.4402635095737928,-1.2426768256180594,12,0.02779786312496646,0
2020-06-01,TXN00000031,A00003691,PLC00009902,2010-07-03,2020-05-14,2020-05-19,Health,1.225153550291426,-0.1617247811660765,Mildred Whitten,6225 West Citrus Way,0,Glendale,AZ,85301,571-86-2413,N,25,117,Y,7,M,Rent,MI,49391929,EDWX65101648714154,PhD,A,Major Loss,Ambulance,1,0,CO,Arvada,3,AGENT00531,VNDR00249,"Mora, Bass and Romero",8467 Chase Drive,0,Arvada,CO,80003.0,Tara Walling,2017-06-21,706 James Road,0,Glen Burnie,MD,21061,86861522,VRME87332443963861,1.463400632966475,0.9091880703409976,1.4231591049832764,-1.74743087828414,16,-0.005706503087462345,1
2020-06-02,TXN00000034,A00001581,PLC00002330,2012-05-24,2020-05-25,2020-05-28,Mobile,-1.6585149929134777,-0.7471201779842155,Brent Lusk,33 Pond Avenue,#804,Brookline,MA,2445,884-70-6944,N,64,100,Y,5,L,Own,LI,26944098,TVMN53017065329095,Bachelor,A,Minor Loss,Other,1,1,CT,Manchester,17,AGENT00623,VNDR00045,Bell PLC,17480 Beaujolais Circle,0,Anchorage,AK,99577.0,William Crume,1993-01-23,14505 Landis Villa Drive,0,Louisville,KY,40245,116603838,UZFW20387729447576,0.8028648838872688,-0.1076870782341027,-0.5426320858356908,1.3533500398833995,14,0.05531871884987416,0
2020-06-02,TXN00000035,A00007890,PLC00005354,2014-08-13,2020-05-17,2020-05-22,Life,0.1376718875008313,2.6064239944855885,Charles Johnson,2708 Mabel Street,M,Berkeley,CA,94702,400-09-6992,N,26,51,Y,2,L,Mortgage,LI,48917333,XJBP78174504296161,College,A,Major Loss,0,1,1,KY,Louisville,13,AGENT00313,VNDR00226,Ortega-Michael,2 Misty Marsh Drive,0,Savannah,GA,31419.0,Jean Cedeno,2011-03-10,12371 Atlanta Highway,0,Montgomery,AL,36117,77224084,WQLL86041147288019,0.0073078566874602,0.9091880703409976,0.9317113072785348,-0.9491343792981431,9,0.01677461760561294,0
2020-06-02,TXN00000039,A00000014,PLC00005626,2011-12-29,2020-05-21,2020-05-26,Mobile,-1.6955647107740637,-0.724430433921497,Louis Yang,10723 Colonial Woods Court,0,Louisville,KY,40223,537-94-6385,Y,26,108,Y,4,L,Rent,HI,108078918,DZZS26513735959155,Masters,A,Minor Loss,Ambulance,0,0,DC,Washington,6,AGENT00132,VNDR00560,Brown Group,6950 Reno Drive,0,Arvada,CO,80002.0,Peggy Williams,2004-12-16,20117 Lucas Avenue,0,Anchorage,AK,99577,52052828,TMNN23369854159891,0.9417716664142192,0.9091880703409976,-0.0511842881309487,-0.1574382430104642,20,0.025251941877972528,0
2020-06-02,TXN00000041,A00003499,PLC00000212,2014-07-17,2020-05-23,2020-05-26,Life,-0.0359857286166617,0.7912444694681032,Paula Davis,3138 P Street Northwest,0,Washington,DC,20007,240-40-7987,N,55,118,Y,5,L,Mortgage,LI,16085161,AUZC56642432965451,High School,A,Major Loss,Ambulance,0,0,CT,Manchester,2,AGENT00312,VNDR00018,Bradley Ltd,4510 Eastern Avenue Northeast,0,Washington,DC,20018.0,Danielle Caddell,1998-07-09,81 Reynolds Drive,0,Colchester,VT,5446,102345346,NFUY75139296831747,0.0393632680398333,-0.1076870782341027,-0.0511842881309487,0.6603119565600474,16,0.026380046790574263,0
2020-06-02,TXN00000042,A00008902,PLC00006704,2015-07-06,2020-05-20,2020-05-25,Motor,0.0124479807653327,-0.6608991505458849,Dorothy James,161 Creek Road,0,Middlebury,VT,5753,070-72-6085,Y,62,66,Y,4,H,Own,HI,101768063,DNIH58931093485640,Masters,A,Minor Loss,Police,0,1,AK,Anchorage,14,AGENT00622,VNDR00560,Brown Group,6950 Reno Drive,0,Arvada,CO,80002.0,Roscoe Wooden,2015-01-04,743 East 9th Avenue,#STE 000200,Anchorage,AK,99501,12462649,YPYD26891395401546,-0.3074180002267498,0.9091880703409976,0.194539610721422,-1.4330451813379577,20,0.07347807058124489,0
2020-06-02,TXN00000043,A00002740,PLC00003271,2010-09-05,2020-05-18,2020-05-23,Property,1.080680348801545,0.8366239575935404,Wayne Landrum,123 Elizabeth Drive,0,Manchester,CT,6042,805-55-1701,Y,57,93,Y,3,L,Rent,HI,63890969,XCCN77413681932167,PhD,A,Total Loss,Police,1,1,AR,Farmington,0,AGENT00896,VNDR00086,"Guerrero, Norman and Baker",55 Russells Mills Road,0,Dartmouth,MA,2748.0,Callie Lewis,2015-09-19,416 Waverly Avenue,0,Baltimore,MD,21225,76362167,OHJG54561980157606,1.4051180668712508,0.9091880703409976,0.6859874084261636,-1.523365934051778,17,0.050092321173161536,0
2020-06-02,TXN00000046,A00000956,PLC00009442,2012-10-01,2020-05-28,2020-05-29,Travel,0.0316972755197152,-0.5247606861695736,Mary Cotton,5205 West Thunderbird Road,#1042,Glendale,AZ,85306,457-41-8492,Y,51,105,Y,2,M,Rent,MI,62624709,ESDM80770942826459,High School,A,Minor Loss,0,1,1,AR,Farmington,5,AGENT00969,VNDR00071,Martinez-Thomas,3203 US Highway 98,A,Mexico Beach,FL,32456.0,Julian Holland,1990-09-10,141 West Leslie Lane,0,Panama City Beach,FL,32407,113174014,ZCGA42160773116840,0.6795001189857113,-1.1245622268092037,-0.7883559846880617,1.6552297864538223,18,0.07816578080290343,0
2020-06-02,TXN00000048,A00006528,PLC00006887,2017-07-28,2020-05-31,2020-05-31,Property,0.4394511536501815,-0.0709658049152023,Tori Mcbride,2868 Peak Road,0,Wheelock,VT,5851,600-66-0177,Y,31,42,Y,4,L,Rent,LI,25506152,HPNJ35229119468476,High School,D,Minor Loss,0,0,1,VT,Richmond,2,AGENT00845,VNDR00009,"Flores, Haas and Fox",7912 Depew Street,0,Arvada,CO,80003.0,Josephine Kraemer,2017-11-07,4604 West 19th Court,0,Panama City,FL,32405,63667590,CFVD19520852636468,-1.0281790676043543,-1.632999801096754,-1.2798037823928037,-1.789812154557548,18,0.0309256919430263,0
2020-06-02,TXN00000050,A00004589,PLC00003093,2016-05-07,2020-05-23,2020-05-26,Motor,0.5895128600687546,-0.297863245542388,Travis Louis,6988 West Blackhawk Drive,0,Glendale,AZ,85308,099-80-2815,N,51,88,Y,7,M,Own,MI,60549064,KMUD72296439165444,College,A,Minor Loss,Ambulance,0,0,AZ,Glendale,13,AGENT00697,VNDR00488,Walker-Ingram,4770 Balboa Way,0,Fremont,CA,94536.0,Judy Hall,2015-11-02,3301 Nora Lane,0,Louisville,KY,40220,41392146,IIYP82972083715600,-0.6017449590076315,-0.1076870782341027,-0.0511842881309487,-1.536914046958851,23,0.02618637119955758,0
2020-06-02,TXN00000052,A00000481,PLC00001551,2017-04-07,2020-05-15,2020-05-20,Mobile,-1.6947367841179608,-0.724430433921497,Thomas Lancon,31 Hills Point Road,0,Charlotte,VT,5445,113-92-5138,Y,64,59,Y,7,L,Own,LI,43037069,PJIY57215323019683,Bachelor,A,Total Loss,Other,0,1,AL,Montgomery,22,AGENT01183,VNDR00277,Baker and Sons,606 Lincoln Street,0,Savannah,GA,31401.0,Elisa Guerrero,1991-09-06,3 Furman Place,0,Swanton,VT,5488,111341810,EIHW29270106624817,-0.9349269618519958,0.9091880703409976,1.4231591049832764,1.5253068575500957,17,0.009902317503602931,0
2020-06-02,TXN00000053,A00009041,PLC00009146,2013-05-27,2020-05-29,2020-05-30,Motor,-0.1177434859067808,-0.3432427336678251,Wanda Ellison,812 Southwest 151st Street,0,Oklahoma City,OK,73170,690-70-2051,N,43,34,Y,7,L,Mortgage,MI,122837245,GOHK04433169519680,College,A,Major Loss,Ambulance,0,0,AK,Anchorage,21,AGENT00293,VNDR00025,Wright Group,3231 North Kings Cross,0,Fayetteville,AR,72703.0,Judy Drinkwater,1993-10-31,8467 Chase Drive,0,Arvada,CO,80003,90027051,CXHX31274722743745,0.4492839829095763,-1.1245622268092037,-1.0340798835404326,1.257123699492137,16,0.025979696828070775,0
2020-06-02,TXN00000054,A00000859,PLC00008827,2017-09-05,2020-05-27,2020-05-29,Property,0.3216785868196053,-0.0255863167897651,Donald Meehan,10001 Pheasant Lane,0,Oklahoma City,OK,73162,256-95-2029,Y,41,106,N,7,L,Rent,MI,88353591,GZRX57828572868183,Bachelor,A,Minor Loss,Ambulance,1,1,GA,Savannah,5,AGENT01049,VNDR00448,Jackson and Sons,12300 Apache Avenue,#107,Savannah,GA,31419.0,Jazmin Lewison,1996-01-21,3141 North Lancaster Lane,0,Fayetteville,AR,72703,49847059,DRKT56753972724850,-1.069948239972598,-0.6161246525216532,-0.7883559846880617,0.974350265995792,22,0.07044632241196347,0
2020-06-02,TXN00000055,A00000583,PLC00005283,2011-06-29,2020-05-20,2020-05-25,Property,1.0040971331120667,0.1105521475865461,Phillip Walker,7030 Cotton Blossom Lane,0,Montgomery,AL,36117,510-04-6704,Y,46,49,Y,3,M,Rent,MI,106596832,TWRC19045429434630,Bachelor,A,Total Loss,Ambulance,1,1,MD,Glen Burnie,9,AGENT00046,VNDR00445,"Bass, Garcia and Garcia",7025 Queen Street,0,Arvada,CO,80004.0,William Ramos,2001-11-11,22825 Paseo Place,0,Hayward,CA,94541,74580381,XAYL42110131828573,1.118562116903066,0.9091880703409976,0.194539610721422,0.235109643784216,23,0.09932176327221626,0
2020-06-02,TXN00000056,A00004719,PLC00002737,2015-04-01,2020-05-16,2020-05-21,Travel,-0.2591119624362775,-0.6155196624204478,Claire Carter,68 Route 66,0,0,VT,5149,231-40-5595,Y,64,92,Y,5,L,Rent,HI,92470130,MQNM96349350027601,College,A,Total Loss,Ambulance,1,0,MA,Waltham,19,AGENT00224,VNDR00498,Smith-Clark,2121 Stepping Stone Trail,0,Edmond,OK,73013.0,Evelyn Ortiz,2009-08-24,10340 West 62nd Place,0,Arvada,CO,80004,62683915,BAUZ02979385845875,-0.2180513988807397,0.9091880703409976,1.1774352061309057,-0.7539025984321163,13,0.05954867023933785,0
2020-06-02,TXN00000057,A00002089,PLC00009114,2010-07-02,2020-05-19,2020-05-24,Motor,0.086961379814555,-0.6608991505458849,Antony Ender,1418 Paddocks Court,0,Crownsville,MD,21032,697-38-5325,N,47,102,Y,2,H,Mortgage,MI,72406182,DWQY63421510919755,High School,A,Total Loss,Police,1,1,CA,Jackson,7,AGENT00410,VNDR00358,Hernandez PLC,2224 East Tall Oaks Drive,0,Fayetteville,AR,72703.0,Ken Tantillo,2006-12-18,212 Ambleside Drive,0,Severna Park,MD,21146,120561063,DPVY54309816267613,1.4692288895759975,0.9091880703409976,0.4402635095737928,-0.4124206756717878,18,0.09876706574490407,0
2020-06-02,TXN00000058,A00004245,PLC00001839,2019-11-18,2020-05-29,2020-05-30,Property,0.4723612382302548,0.6097265169663548,John Tilley,333 Saint Charles Avenue,#B2,Fayetteville,AR,72701,662-23-6761,N,36,15,Y,2,L,Rent,LI,68771096,YDMW11240259428960,College,A,Total Loss,Ambulance,1,1,AK,Anchorage,14,AGENT00515,VNDR00164,Perkins Group,369 Ruth Avenue,0,Mountain View,CA,94043.0,Janelle Hill,2004-09-30,2787 West Blackstone Crossing,0,Fayetteville,AR,72704,37825559,CBPQ53135288819291,-1.8489918734454267,-1.1245622268092037,-1.0340798835404326,-0.1279103046232538,13,0.0451507008725589,0
2020-06-02,TXN00000059,A00009116,PLC00007965,2019-06-25,2020-05-21,2020-05-26,Mobile,-1.6558242312811446,-0.7380442803591281,John Flores,589 East Main Street,0,Newport,VT,5855,006-21-5361,Y,48,16,Y,2,L,Mortgage,MI,54275263,YLHY94788738769738,MD,A,Major Loss,Ambulance,1,1,OK,Oklahoma City,21,AGENT00824,VNDR00083,"Kennedy, Benjamin and Young",1217 Cottondale Road,0,Montgomery,AL,36109.0,Roger Ewing,2004-09-28,829 Dunbarton Road,0,Montgomery,AL,36117,86131197,SSOI84857173204962,-1.7149419714264111,0.9091880703409976,-0.0511842881309487,-0.1299946296858803,27,0.023457544082826742,0
2020-06-02,TXN00000061,A00005466,PLC00000652,2010-08-27,2020-05-19,2020-05-24,Property,1.377285073350255,-0.0255863167897651,Margaret Bolen,4316 Sunnybrook Drive,0,Montgomery,AL,36108,456-25-1821,Y,32,12,Y,2,L,Rent,MI,129055774,LNCN35545852997825,0,A,Minor Loss,Ambulance,1,0,VT,Fairfax,15,AGENT00308,VNDR00457,Kramer and Sons,7404 West Crest Lane,0,Glendale,AZ,85310.0,Ernesto Brown,1998-04-27,4182 North Valley Lake Drive,#4,Fayetteville,AR,72703,67598283,BBGB88504168531175,1.4148318278871217,0.9091880703409976,0.4402635095737928,0.6842816947802534,11,0.02754659205208354,0
